user_name,user_id,nbr_ratings
fonefan,38926,43251
yespr,30149,39240
Ungstrup,5328,32659
joergen,14280,23526
oh6gdx,19328,23417
omhper,2778,22972
anders37,18419,22616
Papsoe,19400,22021
Travlr,83882,21650
madmitch76,81835,21030
cgarvieuk,36509,20566
Beerhunter111,227834,18963
Koelschtrinker,17095,18866
Leighton,74136,18331
Rasmus40,121469,17833
fiulijn,1786,17721
Theydon_Bois,208877,16777
harrisoni,20036,16186
rlgk,7982,16180
saxo,28282,16066
TBone,10233,15914
Oakes,195,15843
mcberko,95615,15168
yngwie,24724,14816
chrisv10,91218,14517
FatPhil,51287,14443
MiP,10185,14160
Dedollewaitor,33484,13925
jtclockwork,104199,13846
imdownthepub,6843,13813
Benzai,130058,13615
brokensail,96974,13451
Ferris,162228,13282
gunnfryd,31397,13003
bhensonb,1966,12914
Ratman197,18957,12809
DSG,47143,12596
Lubiere,5855,12487
Borup,41169,12463
djd07,51030,12457
HenrikSoegaard,17613,12399
Scopey,107993,12207
argo0,3206,12164
bierkoning,3722,12126
Tmoney99,11116,11960
kevnic2008,122778,11866
Theis,38018,11697
Rune,30799,11647
kermis,111648,11552
BeerandBlues2,9357,11529
Christian,7513,11520
Drake,54824,11394
Stuu666,178977,11227
Bov,181,11157
jcwattsrugger,21918,11091
crossovert,97827,11002
bu11zeye,8814,10899
Dogbrick,2714,10753
Camons,111306,10630
mR_fr0g,108099,10606
thewolf,30949,10493
rosenbergh,82173,10450
hopdog,12252,10431
Sammy,11905,10340
pivnizub,20971,10251
Pinball,37760,10086
madsberg,5011,9922
shrubber85,10924,9908
j12601,82864,9868
Meilby,111918,9784
ManVsBeer,137343,9769
MoritzF,20720,9610
slowrunner77,88036,9602
Maria,19592,9538
Desverger,215924,9488
kp,5356,9463
deyholla,86363,9455
faroeviking,31081,9369
leaparsons,3352,9355
KimJohansen,38332,9299
Quack-Duck,37612,9291
allmyvinyl,128401,9248
Fin,32589,9190
gnoff,32615,9176
DuffMan,23155,9075
MartinT,4919,8949
deanso,21776,8934
DocLock,11244,8895
JorisPPattyn,5792,8855
BVery,85741,8841
jercraigs,8067,8792
hopscotch,4850,8709
cubs,85859,8699
olio,86892,8669
sebletitje,74926,8617
daknole,71578,8573
77ships,125231,8555
tderoeck,101220,8535
DJMonarch,29087,8430
daniele,55098,8417
Skinnyviking,29274,8383
marcus,13401,8343
KyotoLefty,80641,8320
jmgreenuk,111989,8226
maeib,10280,8212
alexsdad06,49280,8204
phaleslu,58484,8159
onceblind,100269,8148
gunnar,81782,8098
Erzengel,83106,8097
JoeMcPhee,9953,8067
3fourths,6533,8015
czar,104498,7974
Cuso,103496,7920
bb,2943,7894
blipp,65375,7873
GT,74823,7800
mabel,41473,7744
solidfunk,128160,7707
downender,50902,7676
DrSilverworm,124190,7672
gyllenbock,90466,7596
Svesse,32671,7551
DruncanVeasey,36974,7533
Hansen,5986,7528
arminjewell,87165,7516
ogivlado,3019,7446
Cunningham,137676,7211
laiti,81824,7172
douglas88,58936,7132
bytemesis,170314,7119
kraddel,205447,7108
jonas,1060,7089
drowland,76614,7086
Finn,20300,7077
motelpogo,1880,7061
nimbleprop,38859,7006
BlackHaddock,97853,6999
TaktikMTL,6173,6992
Hermod,96172,6927
The_Osprey,249130,6926
PorterPounder,4759,6883
Ibrew2or3,35148,6879
SudsMcDuff,24583,6864
larsga,15206,6862
Idiosynkrasie,140470,6860
Marduk,136546,6840
SaintMatty,62191,6829
b3shine,128270,6828
chriso,6832,6822
Sigmund,3343,6680
Plovmand,21232,6639
RichTheVillan,212717,6635
radagast83,26851,6634
Radek Kliber,606,6632
FROTHINGSLOSH,10619,6623
jackl,142885,6600
blankboy,17002,6588
AndySnow,123903,6578
Ernest,1270,6566
after4ever,32533,6564
mjs,64150,6503
Nisse666,95853,6468
Borresteijn,78296,6414
lusikka,85448,6404
Geokkjer,89487,6389
Sledutah,62532,6340
larsniclas,6693,6317
drfabulous,16302,6311
McTapps,207907,6261
jredmond,45829,6256
BuckeyeBoy,31748,6250
teorn88,81829,6248
Strykzone,2549,6241
olsvammel,76991,6214
MesandSim,22102,6213
KnutAlbert,26960,6201
berkshirejohn,40373,6189
caesar,1001,6172
mike_77,29797,6168
VastActiv,219974,6158
AirForceHops,111902,6155
Ughsmash,21554,6097
BMan1113VR,53375,6017
CaptainCougar,2953,5987
JaBier,76728,5962
Braudog,5332,5956
MichaelAwesome,206042,5931
ekstedt,20248,5931
HogTownHarry,22646,5916
GenDV138,290599,5905
ClarkVV,4979,5880
Iphonephan,210140,5876
tiong,98624,5867
swoopjones,33419,5821
AmEricanbrew,18191,5782
jfb,77747,5777
jookos,112615,5772
AshtonMcCobb,124423,5741
5000,8017,5741
kappldav123,57799,5703
kramer,24296,5687
mansquito,43796,5667
jaghana,80077,5666
ajnepple,35022,5665
reebtogi,37195,5658
ben4321,87939,5634
Beer5000,20928,5602
Countbeer,102838,5588
Emil,13366,5571
SilkTork,4383,5554
Cletus,17111,5550
vtafro,85502,5535
RobertDale,104701,5516
wlajwl,120804,5511
Patrickctenchi,151324,5492
luttonm,59442,5485
JPDIPSO,2640,5480
kaser,128580,5469
Boutip,7493,5459
Zita,98909,5451
Bulk_Carrier,233969,5442
Skyview,49937,5432
jgb9348,5931,5386
BBB63,7443,5380
Suttree,3641,5376
erickok,101051,5360
Christos,152712,5360
decaturstevo,32238,5346
Gurthnar,145790,5319
TheAlum,61754,5311
nuplastikk,58251,5305
mkel07,82398,5299
Marko,15284,5291
Rastacouere,8034,5288
riversideAK,37954,5287
Holmen1,166277,5286
blutt59,66840,5265
zvikar,79214,5244
Glouglouburp,20635,5241
obguthr,50835,5241
Pyrmir,169242,5230
TheBeerGod,5099,5227
JK,6607,5201
DutchDrebus,114797,5191
dwyerpg,6661,5177
dmac,45094,5142
ganache,31007,5135
altonbrownd,40566,5135
PhillyCraft,121719,5129
mr_h,105677,5126
joeneugs,79927,5119
johndoughty,4093,5117
Pailhead,11840,5089
DonMagi,21197,5087
vyvvy,2682,5081
duff,832,5074
